date,exercise,repetitions,intensity
2024-06-24,Beinpresse,20,50
2024-06-24,Beinpresse,20,50
2024-06-24,Beinpresse,20,50
2024-06-24,Beinpresse,20,50
2024-06-24,Rudergerät,20,15
2024-06-24,Rudergerät,20,15
2024-06-24,Rudergerät,20,15
2024-06-24,Rudergerät,20,15
2024-06-24,Seitheben,14,3
2024-06-24,Seitheben,13,2
2024-06-24,Seitheben,16,1.25
2024-06-24,Seitheben,16,1.25
2024-06-24,Latzug,23,20
2024-06-24,Latzug,20,25
2024-06-24,Latzug,20,25
2024-06-24,Latzug,20,25
2024-06-24,Brustpresse,20,25
2024-06-24,Brustpresse,15,25
2024-06-24,Brustpresse,16,20
2024-06-24,Brustpresse,20,20
2024-06-24,Plank,3,30
2024-06-24,Plank,3,30
2024-06-24,Plank,3,30
2024-06-24,ButterflyReverse,20,5
2024-06-24,ButterflyReverse,20,5
2024-06-24,ButterflyReverse,20,5
2024-06-24,ButterflyReverse,20,5
2024-06-28,Beinpresse,20,60
2024-06-28,Beinpresse,20,60
2024-06-28,Beinpresse,17,60
2024-06-28,Beinpresse,19,50
2024-06-28,Rudergerät,20,15
2024-06-28,Rudergerät,20,15
2024-06-28,Rudergerät,20,15
2024-06-28,Rudergerät,20,15
2024-06-28,Seitheben,20,1.25
2024-06-28,Seitheben,20,1.25
2024-06-28,Seitheben,20,1.25
2024-06-28,Seitheben,20,1.25
2024-06-28,Latzug,20,25
2024-06-28,Latzug,20,25
2024-06-28,Latzug,20,25
2024-06-28,Latzug,20,25
2024-06-28,Brustpresse,20,25
2024-06-28,Brustpresse,18,25
2024-06-28,Brustpresse,20,20
2024-06-28,Brustpresse,20,20
2024-06-28,Plank,3,30
2024-06-28,Plank,3,30
2024-06-28,Plank,3,30
2024-06-28,ButterflyReverse,20,5
2024-06-28,ButterflyReverse,20,5
2024-06-28,ButterflyReverse,20,5
2024-06-28,ButterflyReverse,20,5
2024-07-01,Beinpresse,20,60
2024-07-01,Beinpresse,20,60
2024-07-01,Beinpresse,20,60
2024-07-01,Beinpresse,18,60
2024-07-01,Rudergerät,20,15
2024-07-01,Rudergerät,20,15
2024-07-01,Rudergerät,20,15
2024-07-01,Rudergerät,20,15
2024-07-01,Seitheben,20,2
2024-07-01,Seitheben,18,2
2024-07-01,Seitheben,17,2
2024-07-01,Seitheben,20,1.25
2024-07-01,Latzug,20,25
2024-07-01,Latzug,20,25
2024-07-01,Latzug,20,25
2024-07-01,Latzug,20,25
2024-07-01,Brustpresse,20,25
2024-07-01,Brustpresse,20,25
2024-07-01,Brustpresse,17,25
2024-07-01,Brustpresse,20,20
2024-07-01,Plank,3,30
2024-07-01,Plank,3,30
2024-07-01,Plank,3,30
2024-07-01,ButterflyReverse,20,7.5
2024-07-01,ButterflyReverse,20,5
2024-07-01,ButterflyReverse,20,5
2024-07-01,ButterflyReverse,20,5
2024-07-04,Beinpresse,20,60
2024-07-04,Beinpresse,20,60
2024-07-04,Beinpresse,20,60
2024-07-04,Beinpresse,20,60
2024-07-04,Rudergerät,20,15
2024-07-04,Rudergerät,20,15
2024-07-04,Rudergerät,20,15
2024-07-04,Rudergerät,20,15
2024-07-04,Seitheben,20,2
2024-07-04,Seitheben,20,2
2024-07-04,Seitheben,17,2
2024-07-04,Seitheben,20,1.25
2024-07-04,Latzug,20,30
2024-07-04,Latzug,18,30
2024-07-04,Latzug,20,25
